,0,1,2
86,1.0458786,0.058198396,-0.09710257
87,1.0068942,-0.056891754,-0.14490318
88,1.1824023,-0.05928044,-0.08840703
89,0.85461026,-0.030482328,-0.0895618
90,0.80989176,-0.00536997,-0.06645896
91,0.97644687,-0.18572958,-0.14615832
92,1.2873056,-0.050666884,-0.14121695
93,1.310871,-0.19640543,-0.13674138
94,1.0880948,-0.097743906,-0.1078632
95,0.9261597,0.0076995073,-0.06741632
96,1.4725432,-0.20176272,-0.20012905
97,1.1340858,-0.2029962,-0.13897598
98,1.4133329,-0.24185789,-0.1608214
99,1.3948236,-0.21242988,-0.15160488
100,1.218889,-0.1563061,-0.1881203
101,1.4573661,-0.20416749,-0.15174432
102,1.2423106,-0.17001118,-0.14746232
103,1.3375314,-0.1737822,-0.15668803
104,0.9986978,-0.04897774,-0.099028766
105,1.2837274,-0.1852586,-0.1332953
106,1.0042626,-0.022457425,-0.120082244
107,1.3869218,-0.2171899,-0.18155825
108,1.1781694,-0.102875195,-0.15106158
109,1.4638464,-0.13670532,-0.18253964
110,1.3217665,-0.030600648,-0.0853164
111,1.1242317,-0.086059116,-0.09490431
112,1.49482,-0.26543728,-0.15925601
113,1.1863451,-0.14240082,-0.15255757
114,1.3773743,-0.23928432,-0.13623714
115,1.0345272,-0.036468774,-0.105587654
116,1.3102105,-0.031111242,-0.1704357
117,1.3757735,-0.20046404,-0.1681153
118,1.0572004,-0.07584404,-0.13044527
119,1.2586037,-0.045704428,-0.10086513
120,1.2960194,0.06978702,-0.034809716
121,1.076477,-0.18168499,-0.14090697
122,1.2939271,0.09317738,-0.026166163
123,1.2366022,0.009738052,-0.0643695
124,1.0634555,-0.24394672,-0.14619437
125,1.3881161,-0.062962234,-0.18325111
126,1.2851008,-0.21054292,-0.13948527
127,0.9730758,-0.08064176,-0.15031207
128,1.4160342,-0.2463614,-0.15699705
129,1.2910062,-0.082589835,-0.11282545
130,1.2438285,-0.19616315,-0.13170326
131,1.3526456,0.09469769,-0.02999656
132,1.0997466,-0.02856275,-0.12680687
133,1.4217166,-0.15583293,-0.111495376
134,0.92963827,-0.08604612,-0.15014051
135,1.3914756,-0.11656154,-0.10727865
136,1.0034848,-0.12748407,-0.12392188
137,0.98116595,0.0011346027,-0.069032624
138,1.4410231,-0.09838006,-0.1765826
139,0.92586374,-0.07372056,-0.09630459
140,1.4546477,-0.1794051,-0.20781043
141,1.4819798,-0.23627871,-0.14825302
142,1.0961636,-0.09505683,-0.11600495
143,1.0159686,-0.17412731,-0.12751725
144,1.1260499,-0.122151665,-0.17930478
145,1.4201596,-0.22334711,-0.15975687
146,1.4619846,-0.26842827,-0.17081773
147,1.1978766,-0.24364156,-0.19422942
148,1.4955052,0.014500681,-0.07113559
149,1.1280338,-0.22261259,-0.17452928
150,1.2993627,-0.21037818,-0.1519103
151,1.4737805,0.024585765,-0.06597261
152,1.2867085,-0.012065777,-0.07793214
153,1.1019276,-0.09354946,-0.1637121
154,1.4210013,0.03462537,-0.059334684
155,0.9537191,-0.25658676,-0.14488564
156,1.4888705,0.05319916,-0.1507535
157,1.3687655,0.07257465,-0.033238433
158,1.3946549,-0.15310623,-0.18965355
159,1.1147319,-0.17457117,-0.15653457
160,1.0359296,-0.20627429,-0.13952862
161,0.9776935,-0.14935564,-0.13341406
162,1.0191195,-0.07511552,-0.11712886
163,1.3350078,-0.20568365,-0.15501274
164,1.4685757,-0.07892261,-0.17382349
165,1.4480687,-0.09229167,-0.18209866
166,0.8476757,0.045496974,-0.03951696
167,1.3435655,-0.16812982,-0.13230325
168,1.1452484,-0.20076342,-0.15278861
169,1.357109,-0.26556376,-0.14604676
170,1.1067791,-0.12732479,-0.14991167
171,0.9997258,-0.24289389,-0.170106
172,0.9702839,-0.235478,-0.14914744
173,1.3266088,-0.08749594,-0.09530315
174,1.442832,-0.09055069,-0.16345789
175,1.2344726,-0.0044904402,-0.11701223
176,1.2339215,-0.030603109,-0.14744602
177,0.9648353,-0.1530664,-0.14414805
178,1.0251567,-0.02398386,-0.11934205
179,1.1904002,-0.062111758,-0.10210592
180,1.276108,-0.13264984,-0.11437947
181,1.2276525,-0.11140353,-0.10427834
182,1.3303442,-0.22472753,-0.16333956
183,1.3670502,-0.13115123,-0.118039474
184,0.8853991,-0.119008616,-0.120282695
185,1.188242,-0.06606143,-0.10202904
186,1.4962687,-0.19643396,-0.1419437
187,1.194182,-0.12755181,-0.12596428
188,1.3038523,-0.29100263,-0.14906374
